date,region,price_vnd_per_kg,scraped_at,source
2024-12-20,DakLak,78600,2025-11-07T01:46:32.053682,chart_data
2024-12-20,DakNong,79000,2025-11-07T01:46:32.057954,chart_data
2024-12-20,GiaLai,78400,2025-11-07T01:46:32.045026,chart_data
2024-12-20,LamDong,77700,2025-11-07T01:46:32.049142,chart_data
2024-12-21,DakLak,78600,2025-11-07T01:46:32.053688,chart_data
2024-12-21,DakNong,79000,2025-11-07T01:46:32.057961,chart_data
2024-12-21,GiaLai,78400,2025-11-07T01:46:32.045032,chart_data
2024-12-21,LamDong,77700,2025-11-07T01:46:32.049148,chart_data
2024-12-22,DakLak,78400,2025-11-07T01:46:32.053695,chart_data
2024-12-22,DakNong,78700,2025-11-07T01:46:32.057967,chart_data
2024-12-22,GiaLai,78300,2025-11-07T01:46:32.045038,chart_data
2024-12-22,LamDong,77600,2025-11-07T01:46:32.049154,chart_data
2024-12-23,DakLak,122000,2025-11-07T01:46:32.053701,chart_data
2024-12-23,DakNong,122200,2025-11-07T01:46:32.057973,chart_data
2024-12-23,GiaLai,122000,2025-11-07T01:46:32.045047,chart_data
2024-12-23,LamDong,121600,2025-11-07T01:46:32.049160,chart_data
2024-12-24,DakLak,121000,2025-11-07T01:46:32.053707,chart_data
2024-12-24,DakNong,121200,2025-11-07T01:46:32.057979,chart_data
2024-12-24,GiaLai,120800,2025-11-07T01:46:32.045054,chart_data
2024-12-24,LamDong,120600,2025-11-07T01:46:32.049166,chart_data
2024-12-25,DakLak,123500,2025-11-07T01:46:32.053713,chart_data
2024-12-25,DakNong,124000,2025-11-07T01:46:32.057985,chart_data
2024-12-25,GiaLai,122500,2025-11-07T01:46:32.045061,chart_data
2024-12-25,LamDong,122500,2025-11-07T01:46:32.049171,chart_data
2024-12-26,DakLak,123500,2025-11-07T01:46:32.053719,chart_data
2024-12-26,DakNong,124000,2025-11-07T01:46:32.057991,chart_data
2024-12-26,GiaLai,122500,2025-11-07T01:46:32.045067,chart_data
2024-12-26,LamDong,122500,2025-11-07T01:46:32.049177,chart_data
2024-12-27,DakLak,127000,2025-11-07T01:46:32.053725,chart_data
2024-12-27,DakNong,127000,2025-11-07T01:46:32.057997,chart_data
2024-12-27,GiaLai,125000,2025-11-07T01:46:32.045073,chart_data
2024-12-27,LamDong,126000,2025-11-07T01:46:32.049183,chart_data
2024-12-28,DakLak,129000,2025-11-07T01:46:32.053731,chart_data
2024-12-28,DakNong,129000,2025-11-07T01:46:32.058003,chart_data
2024-12-28,GiaLai,128000,2025-11-07T01:46:32.045080,chart_data
2024-12-28,LamDong,128000,2025-11-07T01:46:32.049189,chart_data
2024-12-29,DakLak,129300,2025-11-07T01:46:32.053737,chart_data
2024-12-29,DakNong,129300,2025-11-07T01:46:32.058009,chart_data
2024-12-29,GiaLai,128500,2025-11-07T01:46:32.045086,chart_data
2024-12-29,LamDong,128200,2025-11-07T01:46:32.049196,chart_data
2024-12-30,DakLak,132000,2025-11-07T01:46:32.053743,chart_data
2024-12-30,DakNong,132200,2025-11-07T01:46:32.058015,chart_data
2024-12-30,GiaLai,131800,2025-11-07T01:46:32.045092,chart_data
2024-12-30,LamDong,131500,2025-11-07T01:46:32.049201,chart_data
2024-12-31,DakLak,134000,2025-11-07T01:46:32.053750,chart_data
2024-12-31,DakNong,134200,2025-11-07T01:46:32.058024,chart_data
2024-12-31,GiaLai,133800,2025-11-07T01:46:32.045099,chart_data
2024-12-31,LamDong,133500,2025-11-07T01:46:32.049209,chart_data
2025-01-01,DakLak,131500,2025-11-07T01:46:32.053758,chart_data
2025-01-01,DakNong,131700,2025-11-07T01:46:32.058045,chart_data
2025-01-01,GiaLai,131500,2025-11-07T01:46:32.045105,chart_data
2025-01-01,LamDong,131000,2025-11-07T01:46:32.049215,chart_data
2025-01-02,DakLak,134000,2025-11-07T01:46:32.053764,chart_data
2025-01-02,DakNong,134200,2025-11-07T01:46:32.058051,chart_data
2025-01-02,GiaLai,134000,2025-11-07T01:46:32.045111,chart_data
2025-01-02,LamDong,133500,2025-11-07T01:46:32.049222,chart_data
2025-01-03,DakLak,134000,2025-11-07T01:46:32.053770,chart_data
2025-01-03,DakNong,134200,2025-11-07T01:46:32.058057,chart_data
2025-01-03,GiaLai,134000,2025-11-07T01:46:32.045118,chart_data
2025-01-03,LamDong,133500,2025-11-07T01:46:32.049228,chart_data
2025-01-04,DakLak,134200,2025-11-07T01:46:32.053777,chart_data
2025-01-04,DakNong,134400,2025-11-07T01:46:32.058064,chart_data
2025-01-04,GiaLai,134200,2025-11-07T01:46:32.045125,chart_data
2025-01-04,LamDong,133700,2025-11-07T01:46:32.049234,chart_data
2025-01-05,DakLak,133000,2025-11-07T01:46:32.053783,chart_data
2025-01-05,DakNong,133200,2025-11-07T01:46:32.058070,chart_data
2025-01-05,GiaLai,133000,2025-11-07T01:46:32.045131,chart_data
2025-01-05,LamDong,132500,2025-11-07T01:46:32.049240,chart_data
2025-01-06,DakLak,130500,2025-11-07T01:46:32.053789,chart_data
2025-01-06,DakNong,130700,2025-11-07T01:46:32.058076,chart_data
2025-01-06,GiaLai,130500,2025-11-07T01:46:32.045138,chart_data
2025-01-06,LamDong,130000,2025-11-07T01:46:32.049247,chart_data
2025-01-07,DakLak,118000,2025-11-07T01:46:32.053795,chart_data
2025-01-07,DakNong,118200,2025-11-07T01:46:32.058082,chart_data
2025-01-07,GiaLai,118000,2025-11-07T01:46:32.045144,chart_data
2025-01-07,LamDong,117500,2025-11-07T01:46:32.049254,chart_data
2025-01-08,DakLak,103000,2025-11-07T01:46:32.053801,chart_data
2025-01-08,DakNong,103500,2025-11-07T01:46:32.058089,chart_data
2025-01-08,GiaLai,102000,2025-11-07T01:46:32.045150,chart_data
2025-01-08,LamDong,102500,2025-11-07T01:46:32.049260,chart_data
2025-01-09,DakLak,101000,2025-11-07T01:46:32.053807,chart_data
2025-01-09,DakNong,101500,2025-11-07T01:46:32.058096,chart_data
2025-01-09,GiaLai,100000,2025-11-07T01:46:32.045156,chart_data
2025-01-09,LamDong,100000,2025-11-07T01:46:32.049266,chart_data
2025-01-10,DakLak,100000,2025-11-07T01:46:32.053813,chart_data
2025-01-10,DakNong,100500,2025-11-07T01:46:32.058102,chart_data
2025-01-10,GiaLai,99000,2025-11-07T01:46:32.045162,chart_data
2025-01-10,LamDong,99000,2025-11-07T01:46:32.049272,chart_data
2025-01-11,DakLak,100000,2025-11-07T01:46:32.053820,chart_data
2025-01-11,DakNong,100500,2025-11-07T01:46:32.058108,chart_data
2025-01-11,GiaLai,99000,2025-11-07T01:46:32.045170,chart_data
2025-01-11,LamDong,99000,2025-11-07T01:46:32.049278,chart_data
2025-01-12,DakLak,95000,2025-11-07T01:46:32.053826,chart_data
2025-01-12,DakNong,95200,2025-11-07T01:46:32.058114,chart_data
2025-01-12,GiaLai,94000,2025-11-07T01:46:32.045176,chart_data
2025-01-12,LamDong,94000,2025-11-07T01:46:32.049284,chart_data
2025-01-13,DakLak,98000,2025-11-07T01:46:32.053832,chart_data
2025-01-13,DakNong,98000,2025-11-07T01:46:32.058120,chart_data
2025-01-13,GiaLai,97600,2025-11-07T01:46:32.045182,chart_data
2025-01-13,LamDong,97000,2025-11-07T01:46:32.049290,chart_data
2025-01-14,DakLak,99000,2025-11-07T01:46:32.053838,chart_data
2025-01-14,DakNong,99000,2025-11-07T01:46:32.058128,chart_data
2025-01-14,GiaLai,98500,2025-11-07T01:46:32.045189,chart_data
2025-01-14,LamDong,98000,2025-11-07T01:46:32.049296,chart_data
2025-01-15,DakLak,99500,2025-11-07T01:46:32.053844,chart_data
2025-01-15,DakNong,99500,2025-11-07T01:46:32.058134,chart_data
2025-01-15,GiaLai,99000,2025-11-07T01:46:32.045195,chart_data
2025-01-15,LamDong,98500,2025-11-07T01:46:32.049302,chart_data
2025-01-16,DakLak,101000,2025-11-07T01:46:32.053850,chart_data
2025-01-16,DakNong,101000,2025-11-07T01:46:32.058140,chart_data
2025-01-16,GiaLai,100500,2025-11-07T01:46:32.045202,chart_data
2025-01-16,LamDong,100000,2025-11-07T01:46:32.049310,chart_data
2025-01-17,DakLak,101000,2025-11-07T01:46:32.053856,chart_data
2025-01-17,DakNong,101000,2025-11-07T01:46:32.058146,chart_data
2025-01-17,GiaLai,100500,2025-11-07T01:46:32.045208,chart_data
2025-01-17,LamDong,100000,2025-11-07T01:46:32.049316,chart_data
2025-01-18,DakLak,100800,2025-11-07T01:46:32.053862,chart_data
2025-01-18,DakNong,100700,2025-11-07T01:46:32.058152,chart_data
2025-01-18,GiaLai,100200,2025-11-07T01:46:32.045216,chart_data
2025-01-18,LamDong,99700,2025-11-07T01:46:32.049322,chart_data
2025-01-19,DakLak,102000,2025-11-07T01:46:32.053870,chart_data
2025-01-19,DakNong,101900,2025-11-07T01:46:32.058158,chart_data
2025-01-19,GiaLai,101400,2025-11-07T01:46:32.045222,chart_data
2025-01-19,LamDong,100900,2025-11-07T01:46:32.049328,chart_data
2025-01-20,DakLak,101500,2025-11-07T01:46:32.053876,chart_data
2025-01-20,DakNong,101400,2025-11-07T01:46:32.058165,chart_data
2025-01-20,GiaLai,101000,2025-11-07T01:46:32.045229,chart_data
2025-01-20,LamDong,100400,2025-11-07T01:46:32.049338,chart_data
2025-01-21,DakLak,102400,2025-11-07T01:46:32.053882,chart_data
2025-01-21,DakNong,102500,2025-11-07T01:46:32.058171,chart_data
2025-01-21,GiaLai,101900,2025-11-07T01:46:32.045237,chart_data
2025-01-21,LamDong,101300,2025-11-07T01:46:32.049344,chart_data
2025-01-22,DakLak,103900,2025-11-07T01:46:32.053888,chart_data
2025-01-22,DakNong,104000,2025-11-07T01:46:32.058177,chart_data
2025-01-22,GiaLai,103400,2025-11-07T01:46:32.045243,chart_data
2025-01-22,LamDong,103300,2025-11-07T01:46:32.049354,chart_data
2025-01-23,DakLak,103900,2025-11-07T01:46:32.053894,chart_data
2025-01-23,DakNong,104000,2025-11-07T01:46:32.058183,chart_data
2025-01-23,GiaLai,103400,2025-11-07T01:46:32.045250,chart_data
2025-01-23,LamDong,103300,2025-11-07T01:46:32.049363,chart_data
2025-01-24,DakLak,104000,2025-11-07T01:46:32.053900,chart_data
2025-01-24,DakNong,104200,2025-11-07T01:46:32.058189,chart_data
2025-01-24,GiaLai,103800,2025-11-07T01:46:32.045256,chart_data
2025-01-24,LamDong,103500,2025-11-07T01:46:32.049373,chart_data
2025-01-25,DakLak,105600,2025-11-07T01:46:32.053906,chart_data
2025-01-25,DakNong,105800,2025-11-07T01:46:32.058195,chart_data
2025-01-25,GiaLai,105400,2025-11-07T01:46:32.045263,chart_data
2025-01-25,LamDong,105000,2025-11-07T01:46:32.049417,chart_data
2025-01-26,DakLak,110000,2025-11-07T01:46:32.053912,chart_data
2025-01-26,DakNong,110400,2025-11-07T01:46:32.058201,chart_data
2025-01-26,GiaLai,109800,2025-11-07T01:46:32.045269,chart_data
2025-01-26,LamDong,109000,2025-11-07T01:46:32.049428,chart_data
2025-01-27,DakLak,117000,2025-11-07T01:46:32.053918,chart_data
2025-01-27,DakNong,117500,2025-11-07T01:46:32.058207,chart_data
2025-01-27,GiaLai,117000,2025-11-07T01:46:32.045276,chart_data
2025-01-27,LamDong,116000,2025-11-07T01:46:32.049438,chart_data
2025-01-28,DakLak,114000,2025-11-07T01:46:32.053924,chart_data
2025-01-28,DakNong,114500,2025-11-07T01:46:32.058213,chart_data
2025-01-28,GiaLai,114000,2025-11-07T01:46:32.045282,chart_data
2025-01-28,LamDong,113000,2025-11-07T01:46:32.049445,chart_data
2025-01-29,DakLak,115500,2025-11-07T01:46:32.053930,chart_data
2025-01-29,DakNong,116000,2025-11-07T01:46:32.058219,chart_data
2025-01-29,GiaLai,115500,2025-11-07T01:46:32.045288,chart_data
2025-01-29,LamDong,114500,2025-11-07T01:46:32.049451,chart_data
2025-01-30,DakLak,115500,2025-11-07T01:46:32.053936,chart_data
2025-01-30,DakNong,116000,2025-11-07T01:46:32.058226,chart_data
2025-01-30,GiaLai,115500,2025-11-07T01:46:32.045295,chart_data
2025-01-30,LamDong,114500,2025-11-07T01:46:32.049473,chart_data
2025-01-31,DakLak,116200,2025-11-07T01:46:32.053942,chart_data
2025-01-31,DakNong,116700,2025-11-07T01:46:32.058232,chart_data
2025-01-31,GiaLai,116200,2025-11-07T01:46:32.045301,chart_data
2025-01-31,LamDong,115200,2025-11-07T01:46:32.049502,chart_data
2025-02-01,DakLak,116700,2025-11-07T01:46:32.053948,chart_data
2025-02-01,DakNong,117200,2025-11-07T01:46:32.058239,chart_data
2025-02-01,GiaLai,116700,2025-11-07T01:46:32.045307,chart_data
2025-02-01,LamDong,115700,2025-11-07T01:46:32.049525,chart_data
2025-02-02,DakLak,120700,2025-11-07T01:46:32.053956,chart_data
2025-02-02,DakNong,121200,2025-11-07T01:46:32.058245,chart_data
2025-02-02,GiaLai,120700,2025-11-07T01:46:32.045314,chart_data
2025-02-02,LamDong,120000,2025-11-07T01:46:32.049532,chart_data
2025-02-03,DakLak,122700,2025-11-07T01:46:32.053962,chart_data
2025-02-03,DakNong,123200,2025-11-07T01:46:32.058253,chart_data
2025-02-03,GiaLai,122700,2025-11-07T01:46:32.045320,chart_data
2025-02-03,LamDong,122000,2025-11-07T01:46:32.049560,chart_data
2025-02-04,DakLak,123500,2025-11-07T01:46:32.053974,chart_data
2025-02-04,DakNong,124000,2025-11-07T01:46:32.058259,chart_data
2025-02-04,GiaLai,123500,2025-11-07T01:46:32.045330,chart_data
2025-02-04,LamDong,123000,2025-11-07T01:46:32.049567,chart_data
2025-02-05,DakLak,120000,2025-11-07T01:46:32.053980,chart_data
2025-02-05,DakNong,120000,2025-11-07T01:46:32.058265,chart_data
2025-02-05,GiaLai,120000,2025-11-07T01:46:32.045337,chart_data
2025-02-05,LamDong,119000,2025-11-07T01:46:32.049574,chart_data
2025-02-06,DakLak,120000,2025-11-07T01:46:32.053986,chart_data
2025-02-06,DakNong,120000,2025-11-07T01:46:32.058271,chart_data
2025-02-06,GiaLai,120000,2025-11-07T01:46:32.045343,chart_data
2025-02-06,LamDong,119000,2025-11-07T01:46:32.049582,chart_data
2025-02-07,DakLak,120000,2025-11-07T01:46:32.053994,chart_data
2025-02-07,DakNong,120000,2025-11-07T01:46:32.058277,chart_data
2025-02-07,GiaLai,120000,2025-11-07T01:46:32.045351,chart_data
2025-02-07,LamDong,118000,2025-11-07T01:46:32.049605,chart_data
2025-02-08,DakLak,123000,2025-11-07T01:46:32.054001,chart_data
2025-02-08,DakNong,123500,2025-11-07T01:46:32.058283,chart_data
2025-02-08,GiaLai,123000,2025-11-07T01:46:32.045358,chart_data
2025-02-08,LamDong,122000,2025-11-07T01:46:32.049611,chart_data
2025-02-09,DakLak,124500,2025-11-07T01:46:32.054007,chart_data
2025-02-09,DakNong,125000,2025-11-07T01:46:32.058289,chart_data
2025-02-09,GiaLai,124500,2025-11-07T01:46:32.045364,chart_data
2025-02-09,LamDong,123500,2025-11-07T01:46:32.049617,chart_data
2025-02-10,DakLak,126000,2025-11-07T01:46:32.054013,chart_data
2025-02-10,DakNong,126500,2025-11-07T01:46:32.058295,chart_data
2025-02-10,GiaLai,126000,2025-11-07T01:46:32.045371,chart_data
2025-02-10,LamDong,125000,2025-11-07T01:46:32.049623,chart_data
2025-02-11,DakLak,125400,2025-11-07T01:46:32.054019,chart_data
2025-02-11,DakNong,125700,2025-11-07T01:46:32.058301,chart_data
2025-02-11,GiaLai,125400,2025-11-07T01:46:32.045377,chart_data
2025-02-11,LamDong,124400,2025-11-07T01:46:32.049629,chart_data
2025-02-12,DakLak,123400,2025-11-07T01:46:32.054025,chart_data
2025-02-12,DakNong,123700,2025-11-07T01:46:32.058306,chart_data
2025-02-12,GiaLai,123400,2025-11-07T01:46:32.045386,chart_data
2025-02-12,LamDong,122400,2025-11-07T01:46:32.049635,chart_data
2025-02-13,DakLak,124000,2025-11-07T01:46:32.054031,chart_data
2025-02-13,DakNong,124200,2025-11-07T01:46:32.058313,chart_data
2025-02-13,GiaLai,124000,2025-11-07T01:46:32.045393,chart_data
2025-02-13,LamDong,123000,2025-11-07T01:46:32.049642,chart_data
2025-02-14,DakLak,124000,2025-11-07T01:46:32.054037,chart_data
2025-02-14,DakNong,124200,2025-11-07T01:46:32.058318,chart_data
2025-02-14,GiaLai,124000,2025-11-07T01:46:32.045399,chart_data
2025-02-14,LamDong,123000,2025-11-07T01:46:32.049648,chart_data
2025-02-15,DakLak,122400,2025-11-07T01:46:32.054057,chart_data
2025-02-15,DakNong,122600,2025-11-07T01:46:32.058326,chart_data
2025-02-15,GiaLai,122400,2025-11-07T01:46:32.045406,chart_data
2025-02-15,LamDong,121400,2025-11-07T01:46:32.049654,chart_data
2025-02-16,DakLak,121000,2025-11-07T01:46:32.054063,chart_data
2025-02-16,DakNong,121200,2025-11-07T01:46:32.058332,chart_data
2025-02-16,GiaLai,121000,2025-11-07T01:46:32.045413,chart_data
2025-02-16,LamDong,120000,2025-11-07T01:46:32.049660,chart_data
2025-02-17,DakLak,121400,2025-11-07T01:46:32.054070,chart_data
2025-02-17,DakNong,121600,2025-11-07T01:46:32.058338,chart_data
2025-02-17,GiaLai,121400,2025-11-07T01:46:32.045419,chart_data
2025-02-17,LamDong,120400,2025-11-07T01:46:32.049666,chart_data
2025-02-18,DakLak,121600,2025-11-07T01:46:32.054076,chart_data
2025-02-18,DakNong,121800,2025-11-07T01:46:32.058344,chart_data
2025-02-18,GiaLai,121600,2025-11-07T01:46:32.045426,chart_data
2025-02-18,LamDong,120600,2025-11-07T01:46:32.049672,chart_data
2025-02-19,DakLak,120000,2025-11-07T01:46:32.054082,chart_data
2025-02-19,DakNong,120200,2025-11-07T01:46:32.058350,chart_data
2025-02-19,GiaLai,120000,2025-11-07T01:46:32.045432,chart_data
2025-02-19,LamDong,119000,2025-11-07T01:46:32.049679,chart_data
2025-02-20,DakLak,120000,2025-11-07T01:46:32.054090,chart_data
2025-02-20,DakNong,120200,2025-11-07T01:46:32.058356,chart_data
2025-02-20,GiaLai,120000,2025-11-07T01:46:32.045438,chart_data
2025-02-20,LamDong,119000,2025-11-07T01:46:32.049686,chart_data
2025-02-21,DakLak,120000,2025-11-07T01:46:32.054096,chart_data
2025-02-21,DakNong,120200,2025-11-07T01:46:32.058362,chart_data
2025-02-21,GiaLai,120000,2025-11-07T01:46:32.045444,chart_data
2025-02-21,LamDong,119000,2025-11-07T01:46:32.049692,chart_data
2025-02-22,DakLak,121000,2025-11-07T01:46:32.054102,chart_data
2025-02-22,DakNong,121200,2025-11-07T01:46:32.058367,chart_data
2025-02-22,GiaLai,121000,2025-11-07T01:46:32.045451,chart_data
2025-02-22,LamDong,120000,2025-11-07T01:46:32.049703,chart_data
